"feature","group1","group2","enriched_in","p_values","p_adjust","log2FoldChange","method","description"
"PWY-7674","September","February","February",2.96488812925616e-33,1.59510981353981e-30,-2.13669820180978,"DESeq2","CMP-8-amino-3,8-dideoxy-D-manno-octulosonate biosynthesis"
"PWY-5101","September","February","February",3.45749817428057e-28,9.30067008881473e-26,-2.57729220770701,"DESeq2","L-isoleucine biosynthesis II"
"GLYCOCAT-PWY","September","February","September",3.80871756684317e-23,5.12272512740406e-21,0.913680388768509,"DESeq2","glycogen degradation I"
"PWY-5692","September","February","September",9.63786228946665e-23,8.64194985288843e-21,1.37043182758733,"DESeq2","allantoin degradation to glyoxylate II"
"URDEGR-PWY","September","February","September",9.63786228946665e-23,8.64194985288843e-21,1.37043182758733,"DESeq2","superpathway of allantoin degradation in plants"
"PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY","September","February","September",2.66613738335239e-21,2.04911701749084e-19,0.825076796467035,"DESeq2","protocatechuate degradation II (ortho-cleavage pathway)"
"PWY0-1297","September","February","September",4.80779590274522e-20,2.87399355075214e-18,0.568580779452263,"DESeq2","superpathway of purine deoxyribonucleosides degradation"
"NAGLIPASYN-PWY","September","February","February",4.56976155491628e-19,2.23502883322269e-17,-0.539471169781842,"DESeq2","lipid IVA biosynthesis (E. coli)"
"PWY-8073","September","February","February",4.56976155491628e-19,2.23502883322269e-17,-0.539471169781842,"DESeq2","lipid IVA biosynthesis (P. putida)"
"PWY-6703","September","February","February",1.51755935338545e-18,6.28036101631825e-17,-0.618982427096127,"DESeq2","preQ0 biosynthesis"
"PWY-7237","September","February","September",8.82569480092763e-18,3.39158843064219e-16,0.502997818074799,"DESeq2","myo-, chiro- and scyllo-inositol degradation"
"PWY-7282","September","February","September",2.50487612489682e-17,8.98415570129661e-16,0.888382670846535,"DESeq2","4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II"
"URSIN-PWY","September","February","September",3.27763634250891e-17,1.10210522016862e-15,1.01976850989685,"DESeq2","ureide biosynthesis"
"PWY-1269","September","February","February",5.07992152952342e-17,1.60764575463741e-15,-0.536493938163291,"DESeq2","CMP-3-deoxy-D-manno-octulosonate biosynthesis"
"PWY-5705","September","February","September",1.86734128490374e-16,5.58127561821228e-15,0.88781587006477,"DESeq2","allantoin degradation to glyoxylate III"
"PWY-7295","September","February","September",2.54428586321963e-16,7.20434628637979e-15,1.52718511344842,"DESeq2","L-arabinose degradation IV"
"PWY-6467","September","February","February",3.58265505488995e-16,9.63734209765396e-15,-0.503333097804229,"DESeq2","Kdo transfer to lipid IVA III (Chlamydia)"
"KETOGLUCONMET-PWY","September","February","September",3.87277948785147e-15,9.92169221173377e-14,1.31367819485874,"DESeq2","ketogluconate metabolism"
"MET-SAM-PWY","September","February","September",1.72676524196475e-14,4.0391291312045e-13,0.492107973587706,"DESeq2","superpathway of S-adenosyl-L-methionine biosynthesis"
"PWY-1622","September","February","September",2.37022968017327e-14,5.31326486638842e-13,0.396256635902638,"DESeq2","formaldehyde assimilation I (serine pathway)"
"HOMOSER-METSYN-PWY","September","February","September",4.63329097285835e-14,9.97084217359117e-13,0.676488384299934,"DESeq2","L-methionine biosynthesis I"
"PWY0-781","September","February","September",1.09025573672757e-13,2.25599071676704e-12,0.322637786715992,"DESeq2","aspartate superpathway"
"PYRIDNUCSAL-PWY","September","February","September",1.48931837572087e-13,2.96760476347343e-12,0.265644424638282,"DESeq2","NAD salvage pathway I (PNC VI cycle)"
"METSYN-PWY","September","February","September",2.00455833573308e-13,3.85161565937285e-12,0.534439977498998,"DESeq2","superpathway of L-homoserine and L-methionine biosynthesis"
"PWY-5347","September","February","September",3.22628153753004e-13,5.59915957158439e-12,0.508804511993685,"DESeq2","superpathway of L-methionine biosynthesis (transsulfuration)"
"PWY-7992","September","February","February",3.17570419836541e-13,5.59915957158439e-12,-1.19266089716312,"DESeq2","superpathway of menaquinol-8 biosynthesis III"
"METH-ACETATE-PWY","September","February","February",3.20142617484715e-13,5.59915957158439e-12,-2.3742006304576,"DESeq2","methanogenesis from acetate"
"CODH-PWY","September","February","February",4.38311847868354e-13,7.3691179422867e-12,-2.4222651489829,"DESeq2","reductive acetyl coenzyme A pathway I (homoacetogenic bacteria)"
"PWY3O-4107","September","February","September",4.72317125776102e-13,7.70020041416796e-12,0.376464342942694,"DESeq2","NAD salvage pathway V (PNC V cycle)"
"PWY-7371","September","February","February",5.59901960728088e-13,8.85962514328563e-12,-1.39004386087078,"DESeq2","1,4-dihydroxy-6-naphthoate biosynthesis II"
"PWY-7784","September","February","February",8.06722892121442e-13,1.20560254433704e-11,-2.22595705880199,"DESeq2","reductive acetyl coenzyme A pathway II (autotrophic methanogens)"
"P4-PWY","September","February","September",1.27168267571482e-12,1.84909535009344e-11,0.32992178812233,"DESeq2","superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"
"PWY-7854","September","February","September",1.63768289992207e-12,2.31861421094231e-11,0.551863708322818,"DESeq2","crotonyl-CoA/ethylmalonyl-CoA/hydroxybutyryl-CoA cycle (engineered)"
"PWY-7332","September","February","February",2.0620160945272e-12,2.8445247662965e-11,-2.49917841776331,"DESeq2","superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis"
"PWY-7873","September","February","September",6.40526753077978e-12,8.01403239897563e-11,0.755736747095407,"DESeq2","D-erythronate degradation II"
"PWY-1861","September","February","February",1.41971019837367e-11,1.73591837892054e-10,-1.75303518601027,"DESeq2","formaldehyde assimilation II (assimilatory RuMP Cycle)"
"PWY0-1241","September","February","February",1.60011826586037e-11,1.90021940230899e-10,-0.767384713663689,"DESeq2","ADP-L-glycero-&beta;-D-manno-heptose biosynthesis"
"DARABCATK12-PWY","September","February","February",1.62472290903743e-11,1.90021940230899e-10,-1.87399758276146,"DESeq2","D-arabinose degradation I"
"RUMP-PWY","September","February","February",2.74571198739949e-11,3.14296393451261e-10,-1.73667376769626,"DESeq2","formaldehyde oxidation I"
"PWY-7900","September","February","September",4.62323885385221e-11,5.18188021535936e-10,1.63273888485117,"DESeq2","glycogen biosynthesis III (from &alpha;-maltose 1-phosphate)"
"PWY-7383","September","February","February",5.54907757639488e-11,6.09266068591927e-10,-0.564267898671997,"DESeq2","anaerobic energy metabolism (invertebrates, cytosol)"
"RHAMCAT-PWY","September","February","February",6.70002537206171e-11,7.2092273003384e-10,-0.857616669257738,"DESeq2","L-rhamnose degradation I"
"PWY0-845","September","February","September",3.04224274458569e-10,3.14755114728288e-09,0.852298430696937,"DESeq2","superpathway of pyridoxal 5'-phosphate biosynthesis and salvage"
"PWY-7374","September","February","February",3.23101859637156e-10,3.27978868839227e-09,-1.17445897342585,"DESeq2","1,4-dihydroxy-6-naphthoate biosynthesis I"
"PWY-5647","September","February","February",3.30595584017204e-10,3.29371155928252e-09,-0.972000529840451,"DESeq2","2-nitrobenzoate degradation I"
"PWY-5654","September","February","February",3.40145091483909e-10,3.32723744033351e-09,-0.96714777500571,"DESeq2","2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate"
"P101-PWY","September","February","September",4.26891421338967e-10,4.02925587158533e-09,0.787161229915357,"DESeq2","ectoine biosynthesis"
"PWY-6185","September","February","September",4.80407888210447e-10,4.45619730788311e-09,1.38621155973027,"DESeq2","4-methylcatechol degradation (ortho cleavage)"
"PWY-561","September","February","September",5.2980242464611e-10,4.83107973660352e-09,0.578502712097925,"DESeq2","superpathway of glyoxylate cycle and fatty acid degradation"
"PWY-7399","September","February","September",8.94223622098959e-10,8.01820514482067e-09,1.57888029580492,"DESeq2","methylphosphonate degradation II"
"PWY66-391","September","February","September",4.08644358154711e-09,3.51158045979722e-08,0.831422725223321,"DESeq2","fatty acid &beta;-oxidation VI (mammalian peroxisome)"
"PWY-7316","September","February","February",4.13579886501308e-09,3.51158045979722e-08,-1.59473174203176,"DESeq2","dTDP-N-acetylviosamine biosynthesis"
"DHGLUCONATE-PYR-CAT-PWY","September","February","February",4.17734478488889e-09,3.51158045979722e-08,-1.59100879209058,"DESeq2","glucose degradation (oxidative)"
"PWY-6383","September","February","September",4.74565682281813e-09,3.92794364719408e-08,1.69871889176365,"DESeq2","mono-trans, poly-cis decaprenyl phosphate biosynthesis"
"ARGDEG-IV-PWY","September","February","February",4.89342052856872e-09,3.98887915813632e-08,-1.7478236110273,"DESeq2","L-arginine degradation VIII (arginine oxidase pathway)"
"PWY-7376","September","February","September",5.01611937823022e-09,4.02786899326546e-08,0.853582475947118,"DESeq2","cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation)"
"PWY-7874","September","February","September",5.81793480773364e-09,4.53630279211695e-08,0.710130257854822,"DESeq2","L-threonate degradation"
"FUC-RHAMCAT-PWY","September","February","February",8.3157381946223e-09,6.39123878386685e-08,-1.07133710174755,"DESeq2","superpathway of fucose and rhamnose degradation"
"PWY-6803","September","February","February",1.19402926785127e-08,9.0477147338589e-08,-1.07715582633813,"DESeq2","phosphatidylcholine acyl editing"
"PWY-5652","September","February","February",1.23837085768914e-08,9.25338224217719e-08,-1.32775810365105,"DESeq2","2-amino-3-carboxymuconate semialdehyde degradation to glutaryl-CoA"
"P23-PWY","September","February","February",2.02569071368317e-08,1.47273189724533e-07,-0.356047096083086,"DESeq2","reductive TCA cycle I"
"PWY-7644","September","February","February",2.26262170924985e-08,1.62305397276856e-07,-5.29538921524217,"DESeq2","heparin degradation"
"ASPASN-PWY","September","February","February",2.85344790227965e-08,2.01994075187691e-07,-2.0574870877878,"DESeq2","superpathway of L-aspartate and L-asparagine biosynthesis"
"PWY-7328","September","February","September",4.07772445068485e-08,2.83804798857913e-07,0.956115848136637,"DESeq2","superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis"
"P108-PWY","September","February","February",4.11464206522625e-08,2.83804798857913e-07,-1.55918757864855,"DESeq2","pyruvate fermentation to propanoate I"
