"feature","group1","group2","enriched_in","p_values","p_adjust","log2FoldChange","method","description"
"PWY-5873","EsteroZacatecas","ColaDeBallena","EsteroZacatecas",3.65911347431574e-54,1.89176166622124e-51,30,"DESeq2","ubiquinol-7 biosynthesis (late decarboxylation)"
"PWY-1422","EsteroZacatecas","ColaDeBallena","EsteroZacatecas",3.54910529694513e-32,9.17443719260317e-30,3.3795563972479,"DESeq2","vitamin E biosynthesis (tocopherols)"
"PWY-7436","EsteroZacatecas","ColaDeBallena","EsteroZacatecas",3.21387721797597e-31,5.53858173897859e-29,3.49555767608045,"DESeq2","vitamin E biosynthesis (tocotrienols)"
"PWY-7377","EsteroZacatecas","ColaDeBallena","EsteroZacatecas",1.17992485130739e-27,1.52505287031481e-25,2.7239174642844,"DESeq2","cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)"
"PWY66-201","EsteroZacatecas","ColaDeBallena","EsteroZacatecas",1.05506843517879e-21,1.09094076197487e-19,5.88785049909182,"DESeq2","nicotine degradation IV"
"PWY-6731","EsteroZacatecas","ColaDeBallena","EsteroZacatecas",2.83824066445555e-20,2.4456173725392e-18,0.573934616487381,"DESeq2","starch degradation III"
"PWY-5838","EsteroZacatecas","ColaDeBallena","EsteroZacatecas",3.94135902518419e-19,2.91097516574318e-17,0.341894168268386,"DESeq2","superpathway of menaquinol-8 biosynthesis I"
"PWY-5861","EsteroZacatecas","ColaDeBallena","EsteroZacatecas",5.93031619049935e-18,3.83246683811021e-16,0.404660914403485,"DESeq2","superpathway of demethylmenaquinol-8 biosynthesis I"
"PWY-5897","EsteroZacatecas","ColaDeBallena","EsteroZacatecas",1.17173946785591e-17,5.49039023440975e-16,0.370114693623838,"DESeq2","superpathway of menaquinol-11 biosynthesis"
"PWY-5898","EsteroZacatecas","ColaDeBallena","EsteroZacatecas",1.17173946785591e-17,5.49039023440975e-16,0.370114693623838,"DESeq2","superpathway of menaquinol-12 biosynthesis"
"PWY-5899","EsteroZacatecas","ColaDeBallena","EsteroZacatecas",1.17173946785591e-17,5.49039023440975e-16,0.370114693623838,"DESeq2","superpathway of menaquinol-13 biosynthesis"
"PWY-5845","EsteroZacatecas","ColaDeBallena","EsteroZacatecas",1.50396287344487e-17,5.49039023440975e-16,0.475208739078563,"DESeq2","superpathway of menaquinol-9 biosynthesis"
"PWY-5850","EsteroZacatecas","ColaDeBallena","EsteroZacatecas",1.50396287344487e-17,5.49039023440975e-16,0.475208739078563,"DESeq2","superpathway of menaquinol-6 biosynthesis"
"PWY-5896","EsteroZacatecas","ColaDeBallena","EsteroZacatecas",1.50396287344487e-17,5.49039023440975e-16,0.475208739078563,"DESeq2","superpathway of menaquinol-10 biosynthesis"
"SUCSYN-PWY","EsteroZacatecas","ColaDeBallena","EsteroZacatecas",1.59295654770109e-17,5.49039023440975e-16,2.89319638631142,"DESeq2","sucrose biosynthesis I (from photosynthesis)"
"PWY-5860","EsteroZacatecas","ColaDeBallena","EsteroZacatecas",3.60202196751891e-17,1.09543844541605e-15,0.554307896147757,"DESeq2","superpathway of demethylmenaquinol-6 biosynthesis I"
"PWY-5862","EsteroZacatecas","ColaDeBallena","EsteroZacatecas",3.60202196751891e-17,1.09543844541605e-15,0.554307896147757,"DESeq2","superpathway of demethylmenaquinol-9 biosynthesis"
"PWY-6629","EsteroZacatecas","ColaDeBallena","ColaDeBallena",3.98387212303335e-17,1.1442566042268e-15,-7.64599558589503,"DESeq2","superpathway of L-tryptophan biosynthesis"
"PWY-7347","EsteroZacatecas","ColaDeBallena","EsteroZacatecas",8.64832726874891e-17,2.35325536733852e-15,2.96594038863576,"DESeq2","sucrose biosynthesis III"
"PWY-5837","EsteroZacatecas","ColaDeBallena","EsteroZacatecas",4.3331571659407e-15,1.12012112739567e-13,0.571462936016755,"DESeq2","2-carboxy-1,4-naphthoquinol biosynthesis"
"PWY-7579","EsteroZacatecas","ColaDeBallena","EsteroZacatecas",8.25511314161433e-15,2.03233023534029e-13,2.43785257661591,"DESeq2","phycourobilin biosynthesis"
"PWY66-367","EsteroZacatecas","ColaDeBallena","ColaDeBallena",1.04153541821937e-13,2.44760823281552e-12,-0.946330663889582,"DESeq2","ketogenesis"
"TRPSYN-PWY","EsteroZacatecas","ColaDeBallena","ColaDeBallena",6.99878774010349e-13,1.50765552568063e-11,-6.54655305532722,"DESeq2","L-tryptophan biosynthesis"
"PWY-3481","EsteroZacatecas","ColaDeBallena","EsteroZacatecas",1.68488105623983e-09,3.35032117721536e-08,2.06666187265527,"DESeq2","superpathway of L-phenylalanine and L-tyrosine biosynthesis"
"PWY-5651","EsteroZacatecas","ColaDeBallena","EsteroZacatecas",8.98507447295321e-09,1.65902982232743e-07,0.901554978305616,"DESeq2","L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde"
"NADSYN-PWY","EsteroZacatecas","ColaDeBallena","EsteroZacatecas",1.04218774347787e-08,1.85796918406226e-07,0.788203043998595,"DESeq2","NAD de novo biosynthesis II (from tryptophan)"
