function	description	FCBAG1	FCBAG2	FCBAG3	FCBAG4	FCBAG5	FCBAG6	FEZAG1	FEZAG2	FEZAG3	FEZAG4	FEZAG5	FEZAG6	SCBAG1	SCBAG2	SCBAG3	SCBAG4	SCBAG5	SCBAG6	SEZAG1	SEZAG2	SEZAG3	SEZAG4	SEZAG5	SEZAG6
1.1.1.1	Alcohol dehydrogenase	46998.46	46573.83	49814.09	47346.57000000001	43163.34	52120.25	50366.170000000006	42194.850000000006	47755.52	43218.2	42133.41	46560.4	56734.16	56817.09	57705.48	54511.44	51350.4	53608.8	52630.27	56972.89	58218.74	48108.78	70692.06	59974.170000000006
1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase	87800.04999999999	88379.22	88901.69	85684.0	81904.81	93367.08	90127.66	76484.68	90040.05	81275.27	69690.17	90453.01	96228.66	97133.56	99808.42	94951.99	91272.9	92857.69	96211.88	99758.21	98576.31	89052.01	119546.56	101469.23
1.1.1.102	3-dehydrosphinganine reductase	131.5	77.0	208.5	189.5	173.0	164.0	449.0	262.5	208.0	134.5	35.5	398.0	217.0	44.0	70.5	118.5	86.0	107.5	312.5	381.0	465.0	266.5	290.0	634.0
1.1.1.103	L-threonine 3-dehydrogenase	5924.42	5777.68	4583.42	4737.05	4814.97	4372.78	4285.700000000001	3778.24	5121.2	5869.63	5185.9	4564.0	2070.4700000000003	2357.6	3313.4300000000003	1887.93	2823.26	2303.74	4145.610000000001	3365.23	3215.22	3414.41	2997.4	2965.0599999999995
1.1.1.105	All-trans-retinol dehydrogenase (NAD(+))	374.5	274.5	282.0	92.5	233.0	221.5	24.0	44.5	19.0	61.0	61.0	29.0	1006.0	976.0	408.0	1209.0	1062.5	1088.0	715.0	477.0	178.5	316.0	302.0	239.5
1.1.1.107	Pyridoxal 4-dehydrogenase	0.0	0.0	6.0	47.0	12.0	18.0	0.0	0.0	3.0	1.0	10.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	2.0
1.1.1.108	Carnitine 3-dehydrogenase	1258.5	1325.5	1414.5	2283.0	1518.67	2069.0	2586.0	1476.0	1899.0	1641.0	1206.5	1848.5	2147.0	1892.0	1750.5	1518.0	2193.5	1512.5	2117.33	2723.5	2844.5	1932.0	3380.0	3257.5
1.1.1.11	D-arabinitol 4-dehydrogenase	27.57	61.0	8.0	90.0	51.43	47.0	60.0	42.0	63.0	172.0	627.86	59.0	64.0	129.14	21.14	17.0	41.57	22.0	6.0	79.17	56.91	10.0	26.0	10.0
1.1.1.120	Galactose 1-dehydrogenase (NADP(+))	458.0	389.0	516.0	847.5	719.0	966.5	1569.5	640.0	1054.0	713.0	603.0	1073.5	1651.0	1180.0	1005.0	798.5	941.0	394.0	944.0	1351.0	1454.0	804.0	2112.0	1988.0
1.1.1.122	D-threo-aldose 1-dehydrogenase	1640.0	1665.5	1709.65	2396.5	2076.67	2552.0	2694.0	2857.33	2833.5	2437.0	4336.33	2276.83	749.5	1028.5	1493.5	1317.0	1718.0	1143.5	2114.0	2231.0	2475.0	1792.75	2411.5	2261.5
1.1.1.127	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	6392.280000000001	5508.56	6768.88	6609.67	6158.35	7736.15	8275.83	4812.5	7562.5	6105.0	4656.1900000000005	7398.83	12335.41	11524.76	10597.56	12047.0	9902.11	10080.5	10443.0	9862.6	9139.62	8961.0	10555.0	10751.66
1.1.1.130	3-dehydro-L-gulonate 2-dehydrogenase	470.5	416.5	257.5	557.5	706.5	552.5	239.0	141.5	368.5	366.0	206.0	322.5	35.0	141.62	184.0	52.0	126.0	69.0	45.0	113.62	76.5	51.0	102.0	55.0
1.1.1.132	GDP-mannose 6-dehydrogenase	1072.5	1096.5	775.0	369.5	489.17	494.0	1836.5	763.0	1483.5	1257.5	620.5	1186.0	484.0	556.5	772.5	724.0	818.0	850.5	876.5	1171.5	1553.0	724.5	1243.0	1334.5
1.1.1.133	dTDP-4-dehydrorhamnose reductase	21181.56	21567.69	19885.56	19951.38	20106.02	20128.120000000003	27592.2	23265.32	26949.980000000003	23590.04	22483.08	28153.24	20898.71	19661.85	19486.07	19080.59	20626.36	18357.15	21410.9	23203.72	25875.1	21164.71	25626.5	26682.52
1.1.1.135	GDP-6-deoxy-D-talose 4-dehydrogenase	12.0	0.0	0.0	33.0	108.0	37.17	1.67	5.0	9.0	17.0	3.0	2.0	2.0	1.0	0.0	2.0	0.0	4.0	26.33	28.5	26.5	13.0	26.0	38.0
1.1.1.136	UDP-N-acetylglucosamine 6-dehydrogenase	10329.5	9869.92	9766.9	8587.74	10309.83	8976.58	7911.33	10644.92	9993.16	9715.16	9554.83	9009.08	9575.57	9465.83	8508.92	11282.33	11258.86	10800.58	10781.45	10076.25	8710.25	10795.42	7529.75	8834.41
1.1.1.137	Ribitol-5-phosphate 2-dehydrogenase	0.0	13.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.14	L-iditol 2-dehydrogenase	8319.83	7305.08	7497.98	8481.3	9524.21	10108.76	14752.82	5855.76	11307.28	8015.110000000001	3921.85	14585.94	10070.25	10007.83	9054.89	11514.0	9498.94	11576.75	11385.91	10553.98	12793.35	8693.61	14693.510000000002	14651.2
1.1.1.140	Sorbitol-6-phosphate 2-dehydrogenase	821.0	758.5	699.25	1125.0	1405.6	1132.44	365.0	222.0	382.5	368.0	244.0	265.0	680.5	963.5	568.89	880.0	457.0	430.0	405.0	383.0	313.5	364.0	975.0	519.5
1.1.1.141	15-hydroxyprostaglandin dehydrogenase (NAD(+))	5.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	5.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.145	3-beta-hydroxy-Delta(5)-steroid dehydrogenase	785.0	892.0	1466.0	692.0	715.0	1066.0	267.0	388.5	413.5	315.0	273.0	194.0	629.0	970.0	793.0	595.0	918.0	710.0	1292.0	1164.0	725.5	1091.0	1575.0	962.0
1.1.1.157	3-hydroxybutyryl-CoA dehydrogenase	20501.59	20493.51	21094.79	20042.42	21072.84	21647.99	17138.35	19579.34	19222.58	19174.19	18194.66	16993.129999999997	21532.64	22189.82	21979.84	21885.66	19489.95	20474.33	20033.03	22621.66	21109.7	20895.370000000003	25366.34	21070.47
1.1.1.159	7-alpha-hydroxysteroid dehydrogenase	2555.6000000000004	2405.75	2145.4	3149.75	2556.87	3059.0	3562.25	1974.0	3233.25	2522.1	1616.25	2998.75	5401.0	4673.08	4145.67	4121.33	3765.0	3852.5	3723.98	4514.75	4661.5	3328.9	6395.75	5125.45
1.1.1.16	Galactitol 2-dehydrogenase	802.5	889.0	883.0	1593.5	960.0	1440.0	2245.5	1088.0	1792.0	1293.0	989.0	1661.5	3837.5	3149.0	2813.0	2642.5	2050.5	2722.0	2118.0	2640.5	2956.5	1461.0	3159.0	3200.5
1.1.1.163	Cyclopentanol dehydrogenase	43.0	38.0	29.0	15.0	0.0	0.0	29.0	1.0	26.0	43.0	5.0	69.0	4.0	8.0	0.0	0.0	5.0	25.0	2.0	5.0	8.0	5.0	0.0	2.0
1.1.1.169	2-dehydropantoate 2-reductase	11721.86	12016.43	10750.09	11603.89	10595.5	9871.74	7626.129999999999	9946.79	8546.619999999999	9086.49	12977.47	7922.200000000001	5686.6900000000005	7628.059999999999	9333.13	5802.15	6710.03	5882.99	9095.64	8282.98	7000.08	8409.01	8346.24	7130.49
1.1.1.17	Mannitol-1-phosphate 5-dehydrogenase	1751.79	1591.1999999999998	1375.9	1124.5	1487.49	1586.6	3518.83	3077.58	3466.0	2770.0	1765.19	3160.58	2748.15	1869.4	1695.31	2453.19	3017.81	1824.32	3563.97	3294.43	2599.37	2065.43	2324.75	2312.75
1.1.1.173	L-rhamnose 1-dehydrogenase	215.0	243.5	178.0	340.0	185.0	282.5	118.0	140.0	101.0	106.5	76.0	102.0	201.5	408.0	347.0	175.0	216.5	249.0	380.0	387.0	396.0	174.0	670.0	384.0
1.1.1.175	D-xylose 1-dehydrogenase	1366.5	1620.9	1770.53	2680.0	1728.0	2457.5	2978.9	1498.4	2218.0	1548.4	1759.3	2360.9	4175.9	3980.0	3181.8	2565.9	2799.5	2254.0	2777.5	3267.0	3223.0	2497.5	4587.0	3985.0
1.1.1.178	3-hydroxy-2-methylbutyryl-CoA dehydrogenase	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
1.1.1.179	D-xylose 1-dehydrogenase (NADP(+))	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	5.0	0.0	0.0	1.0	0.0	7.0
1.1.1.18	Inositol 2-dehydrogenase	4319.5	4038.5	4625.25	5308.02	4862.04	6728.02	8933.44	4635.17	6518.26	5254.37	3346.34	7571.73	4874.07	5183.5	4733.25	4574.0	4536.09	4231.5	6250.110000000001	6353.02	7129.62	5309.2	9946.67	8413.15
1.1.1.193	5-amino-6-(5-phosphoribosylamino)uracil reductase	21328.52	21129.02	21351.550000000003	20090.1	19278.68	20665.46	25465.01	22020.15	24734.230000000003	22151.34	20448.75	25169.1	23672.11	22852.51	23295.41	24190.42	23529.34	22774.82	23298.91	24952.230000000003	26356.73	22864.84	28850.49	26775.71
1.1.1.2	Alcohol dehydrogenase (NADP(+))	1081.5	1303.5	1161.0	857.6700000000001	726.1700000000001	714.0	1349.33	3684.33	2320.5	2627.5	4540.83	1803.33	850.5	891.5	951.0	756.5	1051.0	933.5	689.0	886.0	938.5	883.0	572.0	467.5
1.1.1.202	1,3-propanediol dehydrogenase	239.0	98.0	167.5	74.0	172.0	276.77	217.0	109.0	244.0	29.5	21.5	48.5	766.57	360.0	833.5	617.0	180.36	226.0	326.2	900.0	1006.0	128.0	3168.0	922.0
1.1.1.203	Uronate dehydrogenase	1682.5	1670.5	1571.0	1731.0	1758.0	2390.44	1604.0	1070.0	1253.0	1118.0	864.0	1492.0	4274.5	4136.5	3431.0	4153.5	4113.5	4637.0	2677.8	2719.67	2419.5	2233.0	2808.0	2190.5
1.1.1.205	IMP dehydrogenase	22774.85	21530.71	22381.74	20752.4	21755.69	23069.41	19484.47	20613.82	20448.88	20237.1	20029.07	19694.15	26106.04	25901.01	23834.88	28651.09	25946.85	27404.82	24888.75	24566.730000000003	23869.5	23289.1	26245.82	25177.91
1.1.1.206	Tropinone reductase I	374.0	610.0	428.5	372.1	481.0	564.1	492.1	2631.33	993.0	888.2	3552.33	934.13	520.0	558.33	465.67	812.3299999999999	1071.4	642.0	265.5	740.5	473.2	353.7	274.0	180.9
1.1.1.21	Aldose reductase	3.0	16.0	8.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	72.0	0.0	0.0	19.0	0.0	1.5	0.0	0.0	0.0	0.0
1.1.1.211	Long-chain-3-hydroxyacyl-CoA dehydrogenase	16.0	26.0	16.0	0.0	9.0	0.0	25.0	13.0	16.0	10.0	7.0	9.0	1.0	0.0	4.0	7.0	0.0	2.0	3.0	8.0	11.0	11.0	0.0	22.0
1.1.1.215	Gluconate 2-dehydrogenase	1130.92	1108.0	968.0	1187.5	990.93	1279.75	2634.0	1075.0	1842.5	1437.0	978.0	2064.5	3288.64	2295.5	1841.14	1923.5	2127.2200000000003	2334.0	1563.13	2353.67	2459.91	1459.5	2491.0	2448.0
1.1.1.219	Dihydroflavanol 4-reductase	10840.42	11951.92	10986.44	9776.12	10398.0	9695.36	14736.67	15998.71	14864.85	13158.53	15983.54	15693.11	7929.17	8747.619999999999	9409.05	8011.4	10019.63	7773.08	9627.66	10803.86	10724.15	11118.24	11038.42	10994.7
1.1.1.22	UDP-glucose 6-dehydrogenase	20346.84	20039.66	19964.99	19590.18	19359.01	19925.730000000003	19675.49	20326.48	20326.88	19994.13	20317.99	19870.53	21856.78	21158.18	20969.57	21764.09	21011.61	20577.82	21099.55	21380.4	21458.370000000003	20488.8	22351.32	22014.14
1.1.1.23	Histidinol dehydrogenase	19086.35	18633.18	18994.05	18737.66	18543.85	19228.04	18353.57	19146.49	19093.71	18521.96	19128.4	18751.95	20407.54	19950.34	19918.74	20360.09	20035.75	19853.82	19546.25	20110.83	19781.91	18763.63	20584.82	20041.64
1.1.1.239	3-alpha-(17-beta)-hydroxysteroid dehydrogenase (NAD(+))	56.0	102.0	22.0	79.0	31.0	55.0	36.0	35.0	43.0	19.0	18.0	20.0	35.0	37.0	23.0	22.0	16.0	15.0	17.0	23.0	21.0	14.0	7.0	25.0
1.1.1.25	Shikimate dehydrogenase	23168.75	23029.71	22432.74	23085.9	22255.53	22914.1	21894.47	21759.32	22149.88	22559.1	21915.93	21918.15	23417.04	23481.65	23018.52	22810.09	22959.42	22479.82	22190.58	22608.83	22673.619999999995	22317.43	24043.82	23233.91
1.1.1.258	6-hydroxyhexanoate dehydrogenase	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	5.0	2.0	0.0	0.0
1.1.1.26	Glyoxylate reductase	7428.42	8133.75	8821.869999999999	9444.51	8618.67	10866.64	8998.1	7778.92	8376.17	8380.7	6577.33	7480.8	13559.89	12025.33	12162.25	9950.5	10260.2	10725.25	10493.01	12011.67	10994.45	9335.37	14106.59	10950.31
1.1.1.261	sn-glycerol-1-phosphate dehydrogenase	1527.5	633.5	1162.5	531.0	687.36	819.21	788.5	404.5	540.17	390.17	362.0	389.0	2258.5	2399.5	2163.78	4199.5	1397.5	3236.0	2700.8	2552.17	2133.41	1767.67	4007.75	2733.0
1.1.1.262	4-hydroxythreonine-4-phosphate dehydrogenase	15343.27	16215.02	14763.55	15676.66	14668.27	14856.8	16452.72	17361.32	17468.21	16846.43	17641.739999999998	17366.4	15538.97	14960.18	15525.99	13015.59	13793.49	12499.32	14034.45	15741.73	16605.5	14857.6	16027.82	15425.909999999998
1.1.1.264	L-idonate 5-dehydrogenase (NAD(P)(+))	592.5	578.0	587.0	1041.0	476.67	787.8199999999999	891.0	488.0	828.0	633.0	437.0	621.5	3124.07	2490.0	2345.0	1989.0	1402.86	2252.0	1145.66	1332.67	1626.0	746.0	1306.0	1740.0
1.1.1.267	1-deoxy-D-xylulose-5-phosphate reductoisomerase	16339.35	15631.87	15277.41	15326.06	15441.31	15637.91	14310.47	14103.490000000002	14647.05	14576.6	13934.57	14175.32	17241.61	16519.510000000002	16619.57	17057.260000000002	15000.21	16751.989999999998	16853.25	17267.9	17813.0	15988.43	18630.32	18070.41
1.1.1.27	L-lactate dehydrogenase	3269.14	2442.69	2908.4100000000003	2574.33	2416.9	2734.46	2734.0	2141.33	2005.42	2358.5	1535.0300000000002	2171.0	2979.78	3367.34	2666.14	4671.5	2612.6800000000003	4147.6	6024.96	3854.82	3002.44	3315.77	2990.25	3403.58
1.1.1.271	GDP-L-fucose synthase	10671.25	10905.92	9897.39	11169.05	11315.05	10474.98	13506.19	13088.17	14123.44	12474.11	11857.75	14580.65	10246.5	8866.39	9290.64	8710.16	11796.43	8359.33	10101.51	11371.0	11246.13	11188.27	10766.32	11711.89
1.1.1.275	(+)-trans-carveol dehydrogenase	54.0	28.0	66.0	8.0	72.0	127.0	5.0	12.0	4.5	0.0	4.0	0.0	101.0	29.0	62.0	92.0	85.0	38.0	61.0	27.0	91.5	33.0	683.0	166.0
