function	description	FCBAG1	FCBAG2	FCBAG3	FCBAG4	FCBAG5	FCBAG6	FEZAG1	FEZAG2	FEZAG3	FEZAG4	FEZAG5	FEZAG6	SCBAG1	SCBAG2	SCBAG3	SCBAG4	SCBAG5	SCBAG6	SEZAG1	SEZAG2	SEZAG3	SEZAG4	SEZAG5	SEZAG6
ko:K00001	alcohol dehydrogenase [EC:1.1.1.1]	23588.18	23575.4	24368.34	24051.84	21972.51	26001.99	27050.44	21085.9	24800.7	21861.13	18412.97	23904.01	32459.75	31306.03	30905.16	30270.4	28836.24	29974.0	27593.92	30080.72	29851.83	25524.47	33377.82	29918.04
ko:K00002	alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	1081.5	1303.5	1161.0	857.6700000000001	726.1700000000001	714.0	1349.33	3684.33	2320.5	2627.5	4540.83	1803.33	850.5	891.5	951.0	756.5	1051.0	933.5	689.0	886.0	938.5	883.0	572.0	467.5
ko:K00003	homoserine dehydrogenase [EC:1.1.1.3]	17270.68	17114.33	16555.88	16560.36	16405.82	16688.949999999997	17146.88	12957.09	16214.85	14537.0	13376.0	17217.13	17381.379999999997	18597.41	17420.83	17612.5	16093.71	18262.25	16701.55	18024.83	19761.81	15040.97	21171.25	20001.75
ko:K00004	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	3199.0	3209.5	3470.9	3302.0	3043.7700000000004	4931.32	3937.5	2605.0	3862.5	2813.5	1964.5	3046.0	3390.07	3385.5	3982.64	3751.5	3914.36	3276.0	4239.0	5419.0	5298.0	3808.5	9205.5	5738.5
ko:K00005	glycerol dehydrogenase [EC:1.1.1.6]	357.21000000000004	170.0	346.5	396.43	260.89	328.35	4021.44	1111.33	2635.43	1084.37	434.87	3931.9	918.4	390.41	820.28	746.86	197.94	352.64	1264.1999999999998	2047.98	3267.47	1121.04	4463.17	3583.65
ko:K00007	D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	27.57	61.0	8.0	90.0	51.43	47.0	60.0	42.0	63.0	172.0	627.86	59.0	64.0	129.14	21.14	17.0	41.57	22.0	6.0	79.17	56.91	10.0	26.0	10.0
ko:K00008	L-iditol 2-dehydrogenase [EC:1.1.1.14]	8319.83	7305.08	7497.98	8481.3	9524.21	10108.76	14752.82	5855.76	11307.28	8015.110000000001	3921.85	14585.94	10070.25	10007.83	9054.89	11514.0	9498.94	11576.75	11385.91	10553.98	12793.35	8693.61	14693.510000000002	14651.2
ko:K00009	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	1751.79	1591.1999999999998	1375.9	1124.5	1487.49	1586.6	3518.83	3077.58	3466.0	2770.0	1765.19	3160.58	2748.15	1869.4	1695.31	2453.19	3017.81	1824.32	3563.97	3294.43	2599.37	2065.43	2324.75	2312.75
ko:K00010	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	4319.5	4038.5	4625.25	5308.02	4862.04	6728.02	8933.44	4635.17	6518.26	5254.37	3346.34	7571.73	4874.07	5183.5	4733.25	4574.0	4536.09	4231.5	6250.110000000001	6353.02	7129.62	5309.2	9946.67	8413.15
ko:K00011	aldehyde reductase [EC:1.1.1.21]	3.0	16.0	8.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	72.0	0.0	0.0	19.0	0.0	1.5	0.0	0.0	0.0	0.0
