pathway	description	FCBAG1	FCBAG2	FCBAG3	FCBAG4	FCBAG5	FCBAG6	FEZAG1	FEZAG2	FEZAG3	FEZAG4	FEZAG5	FEZAG6	SCBAG1	SCBAG2	SCBAG3	SCBAG4	SCBAG5	SCBAG6	SEZAG1	SEZAG2	SEZAG3	SEZAG4	SEZAG5	SEZAG6
12DICHLORETHDEG-PWY	1,2-dichloroethane degradation	1441.0092325223306	1641.113139151982	1767.313299855953	2176.5903284985634	1711.2252162899522	2258.392934340456	2876.430777866279	1744.6476455038817	2745.387847602048	2075.8573690081807	1028.8502647223586	3058.463582142035	2896.010655456556	2535.058937320228	2185.464446120764	2327.9736307430258	2715.6430175914056	2003.3727378848537	1334.1162649583448	1769.2208949714588	2070.137702959461	1531.382534378569	2773.5713874823164	1716.7457423661556
14DICHLORBENZDEG-PWY	1,4-dichlorobenzene degradation	204.71382551108707	310.6366707337978	320.1175382331461	344.97695075015514	199.37461969059933	367.73038686498506	267.26120525253606	191.58681465301575	137.12097311383306	147.7260727607974	115.83931906438222	183.65345575931224	25.32406791602221	89.21805306025597	239.29762573109116	13.33068241734908	156.99083792814386	103.83676741529897	137.10290632552437	158.36999070596195	19.99555452420517	183.5969055452157	114.51552655093089	6.666205203011936
1CMET2-PWY	folate transformations III (E. coli)	18766.524129103356	19372.391873591336	18240.099890921912	18793.016847687417	17881.44609804326	18259.56354093613	16913.8982586071	19633.356803838164	18783.016635969343	19432.776665054385	20491.91143305308	17514.795633937	17601.08307446457	17951.493061948542	17781.294312010305	16994.36691920479	17615.833486598083	16163.488210429465	17671.060724463132	17762.62422729317	17070.73854764104	17411.19108815645	16350.954841754989	16177.915489434958
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	427.6553190171587	544.3634945374462	542.8926675175645	310.70947373713904	323.2228098166383	429.60299835536256	118.47809455166517	256.0989453429391	138.2439791004278	159.86567407327286	199.90529043644733	94.55338167055758	136.3408962229458	309.3409617508435	338.1516240542452	314.09652515988995	326.7992963970368	423.3386455877714	548.2879810296464	423.4088121527772	62.19290878796885	453.2390016170256	110.31122654586622	272.7674288575629
AEROBACTINSYN-PWY	aerobactin biosynthesis	141.93430471906078	66.62031067142536	186.81795770793397	107.17750973043972	69.16819533653702	77.65352901237033	9.510374606138408	43.766223305657725	3.987823439878235	30.37143982149888	74.8349810480247	18.208588957055216	56.09608809434321	102.6703044119359	69.3067176223958	69.84434866915011	62.33856583718703	67.09413494052671	166.9162326497712	76.45407363544533	118.21296229421137	108.52687844847172	207.30561487250344	181.54486693388824
ALLANTOINDEG-PWY	superpathway of allantoin degradation in yeast	2562.0950898668298	2939.2426268126537	2896.847701116795	2803.493083431156	1980.9488016201271	2241.827461287697	1238.2701760223451	1502.291932508747	1712.0213389621604	1847.766068789015	2084.9581550620774	1450.1500071567175	2615.8880689934745	3449.2683280933807	4005.443530662058	2318.5716893165045	2272.25069393614	2353.725577678229	1547.3477235656403	2977.7842735014224	2386.889702586686	2009.2885549824432	3885.718643137436	1866.462924140233
ANAEROFRUCAT-PWY	homolactic fermentation	10929.98710425366	8888.174297440286	10113.137952720692	9050.820119830203	9021.802003019033	9855.83165240547	9156.342222373603	7951.271384168223	7591.171676189393	8358.810339622254	6368.107708120734	7756.749315502127	10465.204499690008	11357.747129881618	9655.65879496794	13990.752861844294	9767.821625817402	12909.94852551849	15411.00451467858	12237.230955777828	10563.996849490975	10930.317229798757	10785.603438269798	11592.79972232005
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	20519.494057000244	18806.88890525248	20244.444962923524	18400.478011102437	19996.393868780244	20948.867906941843	16916.86272237369	18170.322932835206	16978.749896352587	17345.539350547657	18305.666266387103	15475.038076426194	22130.76935322051	22415.365740388814	21213.151328196345	24026.06979609839	22310.581568844176	23327.62723650841	23004.089590966472	22175.890232866357	21423.06586277756	20626.04068173024	22755.47522054185	22367.518582317
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	9452.537252220549	9877.367120494231	9413.5889816551	9081.930271145362	7647.051837397715	7189.589858400119	10474.11888208344	6648.252275869107	9552.86170113754	7868.705800918364	5817.414387387416	9902.782460010583	10712.797966867796	10429.08004859569	10873.891967287966	8966.65832732961	8341.763578901127	9122.886510280432	10011.837080539031	10144.032363225124	11545.21168698326	9871.169985144106	11066.893977936312	11233.099961749327
ARGDEG-IV-PWY	L-arginine degradation VIII (arginine oxidase pathway)	301.80523360229466	352.0208003190308	243.072385681816	368.22028279783046	191.7252110007832	278.1372484088872	148.32856378741351	144.1874239717204	226.05846415496163	319.7544217440519	96.16351460584453	218.6433290233712	105.37427165886302	122.068034868155	114.54141301083614	14.191477730971046	19.747369878183832	88.66359718774343	88.2005356539039	82.4386828301441	51.33975194651422	54.688855105109695	58.89882033104253	107.91965055761936
