Phylum	Class	Order	Family	contribution	n_asvs	n_ecs	n_samples	top_genus	pct
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	236042.85	675	7	24	Unclassified	13.02
Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	141263.75	342	4	24	Unclassified	7.79
Rhodothermota	Rhodothermia	Rhodothermales	Rhodothermaceae	90711	444	7	24	Unclassified	5
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	83824.07	535	7	24	Gramella	4.62
Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	83298	501	7	24	Tunicatimonas	4.59
Actinomycetota	Actinobacteria	Euzebyales	Euzebyaceae	71029	62	4	24	Unclassified	3.92
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	70520	108	4	24	Fulvimarina	3.89
Actinomycetota	Actinobacteria	Nitriliruptorales	Nitriliruptoraceae	59940	96	3	24	Unclassified	3.31
Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	55057	499	7	24	Lewinella	3.04
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae	43888.59	70	3	12	Rivularia_PCC-7116	2.42
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	43063	151	7	23	Unclassified	2.38
Actinomycetota	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	42497	30	7	24	Rubrobacter	2.34
Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	40856	77	7	24	Unclassified	2.25
Actinomycetota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	40591	65	4	24	Ilumatobacter	2.24
Myxococcota	Polyangiia	Polyangiales	Sandaracinaceae	26248	182	6	24	Unclassified	1.45
Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	21639.18	421	4	24	Pir4_lineage	1.19
Pseudomonadota	Gammaproteobacteria	Unclassified	Unclassified	20041	388	7	24	Unclassified	1.11
Actinomycetota	Actinobacteria	Propionibacteriales	Nocardioidaceae	19677.5	30	4	18	Nocardioides	1.09
Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	19095	93	7	23	Unclassified	1.05
Chloroflexota	Anaerolineae	Aggregatilineales	A4b	18879.5	172	7	24	Unclassified	1.04
Pseudomonadota	Alphaproteobacteria	Unclassified	Neomegalonemataceae	18433	41	4	24	Acuticoccus	1.02
Pseudomonadota	Alphaproteobacteria	Unclassified	Unclassified	16598.01	193	7	24	Unclassified	0.92
Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae	14972	70	7	21	Unclassified	0.83
Actinomycetota	Acidimicrobiia	Actinomarinales	Unclassified	14001	63	7	24	Unclassified	0.77
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Xenococcaceae	13234	101	3	24	Pleurocapsa_PCC-7319	0.73
Pseudomonadota	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	13028	91	4	24	Woeseia	0.72
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	12936.99	15	4	24	Marinobacter	0.71
Pseudomonadota	Alphaproteobacteria	Kiloniellales	Kiloniellaceae	12518	74	4	22	Pelagibius	0.69
Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	11989	191	5	24	Subgroup_10	0.66
Pseudomonadota	Gammaproteobacteria	Enterobacterales	Vibrionaceae	11148.16	77	4	22	Vibrio	0.61
Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Rubritaleaceae	8744.01	116	4	24	Haloferula	0.48
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	8136.5	104	4	23	Unclassified	0.45
Gemmatimonadota	BD2-11_terrestrial_group	Unclassified	Unclassified	8101	130	4	23	Unclassified	0.45
Actinomycetota	Actinobacteria	Micrococcales	Intrasporangiaceae	7647	5	4	23	Unclassified	0.42
Actinomycetota	Acidimicrobiia	Microtrichales	Unclassified	7638	21	4	23	Unclassified	0.42
Chloroflexota	Anaerolineae	Caldilineales	Caldilineaceae	7549.2	55	4	24	Unclassified	0.42
Thermodesulfobacteriota	Desulfobacteria	Desulfatiglandales	Desulfatiglandaceae	7410	58	7	21	Desulfatiglans	0.41
Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	7409.81	68	4	23	Alteromonas	0.41
Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	7110	66	4	24	Unclassified	0.39
Actinomycetota	Acidimicrobiia	Microtrichales	Microtrichaceae	6830	56	5	23	Unclassified	0.38
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	6753.54	113	3	24	Unclassified	0.37
Pseudomonadota	Alphaproteobacteria	Caulobacterales	Parvularculaceae	6702	47	4	24	Parvularcula	0.37
Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	6667	146	4	23	Vicingus	0.37
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Unclassified	6620	43	7	16	Unclassified	0.37
Chloroflexota	Anaerolineae	Unclassified	Unclassified	6590	29	7	20	Unclassified	0.36
Pseudomonadota	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	6170	57	4	23	Euryhalocaulis	0.34
Pseudomonadota	Gammaproteobacteria	EPR3968-O8a-Bc78	Unclassified	6042	69	3	19	Unclassified	0.33
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Unclassified	5803	50	4	24	Unclassified	0.32
Pseudomonadota	Gammaproteobacteria	Chromatiales	Chromatiaceae	5620	38	4	18	Thiophaeococcus	0.31
Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	DEV007	5377	94	4	22	Unclassified	0.3
Cyanobacteriota	Cyanobacteriia	Phormidesmiales	Phormidesmiaceae	5375.99	48	3	11	Phormidium_MBIC10003	0.3
Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes_BD2-2	4661	80	4	20	Unclassified	0.26
Deinococcota	Deinococci	Deinococcales	Trueperaceae	4635	35	3	24	Truepera	0.26
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudohongiellaceae	4490.01	70	3	24	Pseudohongiella	0.25
Chloroflexota	Anaerolineae	Aggregatilineales	Unclassified	4349	59	7	23	Unclassified	0.24
Planctomycetota	Planctomycetes	Planctomycetales	Gimesiaceae	4337	50	4	23	Unclassified	0.24
Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	4106	165	3	24	Algisphaera	0.23
