Phylum	Class	Order	Family	Genus	contribution	n_asvs	n_ecs	n_samples	pct
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Unclassified	94310.85	396	7	24	5.2
Actinomycetota	Actinobacteria	Euzebyales	Euzebyaceae	Unclassified	68806	52	4	24	3.8
Rhodothermota	Rhodothermia	Rhodothermales	Rhodothermaceae	Unclassified	61971	309	7	24	3.42
Actinomycetota	Actinobacteria	Nitriliruptorales	Nitriliruptoraceae	Unclassified	59940	96	3	24	3.31
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Palleronia-Pseudomaribius	53028	42	4	23	2.93
Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Unclassified	52413.75	175	4	24	2.89
Actinomycetota	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	42497	30	7	24	2.34
Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Tunicatimonas	41997	103	7	24	2.32
Actinomycetota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacter	40512	53	4	24	2.23
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Rivularia_PCC-7116	38308.05	16	3	12	2.11
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Fulvimarina	33480	18	4	24	1.85
Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	Unclassified	33223	48	7	24	1.83
Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella	31809	89	4	24	1.75
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Gramella	27718.98	24	3	23	1.53
Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Aurantiacibacter	26658	24	4	24	1.47
Rhodothermota	Rhodothermia	Rhodothermales	Rhodothermaceae	Rubrivirga	25914	93	3	24	1.43
Myxococcota	Polyangiia	Polyangiales	Sandaracinaceae	Unclassified	25664	169	6	24	1.42
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Limibaculum	23725	48	4	24	1.31
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Unclassified	22102	49	4	24	1.22
Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomicrobium	20604	32	3	24	1.14
Actinomycetota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	19677.5	30	4	18	1.09
Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Unclassified	19192	237	7	24	1.06
Chloroflexota	Anaerolineae	Aggregatilineales	A4b	Unclassified	18879.5	172	7	24	1.04
Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Unclassified	18768	338	7	24	1.04
Pseudomonadota	Gammaproteobacteria	Unclassified	Unclassified	Unclassified	18711	360	7	24	1.03
Pseudomonadota	Alphaproteobacteria	Unclassified	Neomegalonemataceae	Acuticoccus	18307	35	4	24	1.01
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Actibacterium	17175	23	4	23	0.95
Pseudomonadota	Alphaproteobacteria	Unclassified	Unclassified	Unclassified	16598.01	193	7	24	0.92
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Unclassified	16226.59	158	4	24	0.9
Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	Unclassified	15936	73	7	23	0.88
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Unclassified	15758	55	7	21	0.87
Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Fulvivirga	14216	53	4	24	0.78
Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Pacificimonas	14064	18	3	24	0.78
Actinomycetota	Acidimicrobiia	Actinomarinales	Unclassified	Unclassified	14001	63	7	24	0.77
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	Marinobacter	12936.99	15	4	24	0.71
Pseudomonadota	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia	12731	82	4	24	0.7
Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_10	11404	169	5	24	0.63
