taxon_id	Kingdom	Phylum	Class	Order	Family	Genus	Species	contribution	n_ecs	n_samples
ASV_3566	Bacteria	Actinomycetota	Actinobacteria	Euzebyales	Euzebyaceae	Unclassified	Unclassified	14177	1	23
ASV_4417	Bacteria	Actinomycetota	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	Unclassified	10446	1	22
ASV_13594	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	Marinobacter	Unclassified	8280	3	20
ASV_16064	Bacteria	Actinomycetota	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	Unclassified	5406	1	11
ASV_2541	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Gramella	Unclassified	5354	2	21
ASV_7782	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacter	Unclassified	4252	1	24
ASV_10060	Bacteria	Actinomycetota	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	Unclassified	4020	1	14
ASV_1823	Bacteria	Actinomycetota	Actinobacteria	Nitriliruptorales	Nitriliruptoraceae	Unclassified	Unclassified	4015	1	17
ASV_10962	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	Marinobacter	Unclassified	3200	3	14
ASV_15130	Bacteria	Actinomycetota	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	Unclassified	3186	1	10
ASV_1096	Bacteria	Myxococcota	Polyangiia	Polyangiales	Sandaracinaceae	Unclassified	Unclassified	2880	2	12
ASV_1047	Bacteria	Actinomycetota	Acidimicrobiia	Actinomarinales	Unclassified	Unclassified	Unclassified	2730	2	16
ASV_1266	Bacteria	Pseudomonadota	Alphaproteobacteria	Unclassified	Neomegalonemataceae	Acuticoccus	Unclassified	2616	3	12
ASV_1163	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Unclassified	Unclassified	2298	1	15
ASV_7541	Bacteria	Actinomycetota	Actinobacteria	Euzebyales	Euzebyaceae	Unclassified	Unclassified	2296	1	17
ASV_11225	Bacteria	Rhodothermota	Rhodothermia	Rhodothermales	Rhodothermaceae	Unclassified	Unclassified	2108	2	18
ASV_5513	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Iamiaceae	Iamia	Unclassified	1878	1	17
ASV_15923	Bacteria	Chloroflexota	Anaerolineae	Aggregatilineales	A4b	Unclassified	Unclassified	1851	2	23
ASV_10676	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella	Unclassified	1791	1	17
ASV_12828	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella	Unclassified	1766	1	15
ASV_10841	Bacteria	Actinomycetota	Actinobacteria	Nitriliruptorales	Nitriliruptoraceae	Unclassified	Unclassified	1759	1	16
ASV_5409	Bacteria	Pseudomonadota	Alphaproteobacteria	Unclassified	Neomegalonemataceae	Acuticoccus	Unclassified	1590	3	18
ASV_10265	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacter	Unclassified	1556	1	16
ASV_11904	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Unclassified	Unclassified	Unclassified	1482	1	16
ASV_15365	Bacteria	Actinomycetota	Actinobacteria	Euzebyales	Euzebyaceae	Unclassified	Unclassified	1452	1	13
