Phylum	Class	Order	Family	contribution	n_asvs	n_ecs	n_samples	top_genus	pct
Actinomycetota	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	25410	25	1	24	Rubrobacter	7.17
Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	23999.5	476	4	24	Lewinella	6.77
Actinomycetota	Actinobacteria	Euzebyales	Euzebyaceae	23675	61	1	24	Unclassified	6.68
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	20687.98	272	4	24	Gramella	5.84
Actinomycetota	Actinobacteria	Nitriliruptorales	Nitriliruptoraceae	19195	88	1	24	Unclassified	5.42
Rhodothermota	Rhodothermia	Rhodothermales	Rhodothermaceae	15684	224	4	24	Rubrivirga	4.43
Actinomycetota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	15578	65	1	24	Ilumatobacter	4.4
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	15377.5	192	4	24	Unclassified	4.34
Myxococcota	Polyangiia	Polyangiales	Sandaracinaceae	14481	181	3	24	Unclassified	4.09
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	11996.65	13	4	24	Marinobacter	3.39
Chloroflexota	Anaerolineae	Aggregatilineales	A4b	10250	162	4	24	Unclassified	2.89
Pseudomonadota	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	7368	82	3	24	Woeseia	2.08
Pseudomonadota	Alphaproteobacteria	Unclassified	Neomegalonemataceae	7122	18	3	22	Acuticoccus	2.01
Actinomycetota	Acidimicrobiia	Actinomarinales	Unclassified	6027	57	2	24	Unclassified	1.7
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	6025	42	4	24	Unclassified	1.7
Chloroflexota	Anaerolineae	Caldilineales	Caldilineaceae	6000	54	2	24	Unclassified	1.69
Pseudomonadota	Gammaproteobacteria	Unclassified	Unclassified	5938.75	267	4	24	Unclassified	1.68
Actinomycetota	Acidimicrobiia	Microtrichales	Unclassified	5602	19	1	23	Unclassified	1.58
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	5188.5	151	3	23	Unclassified	1.46
Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	5033	134	2	23	Owenweeksia	1.42
Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	3981	58	3	23	Unclassified	1.12
Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	3605	77	3	24	Unclassified	1.02
Pseudomonadota	Alphaproteobacteria	Kiloniellales	Kiloniellaceae	3139	37	4	21	Pelagibius	0.89
Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	2853.5	65	3	24	Unclassified	0.81
Pseudomonadota	Gammaproteobacteria	Chromatiales	Chromatiaceae	2798	18	4	18	Thiophaeococcus	0.79
Chloroflexota	Anaerolineae	Ardenticatenales	Unclassified	2573	32	3	17	Unclassified	0.73
Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	2330	31	3	24	Parasphingopyxis	0.66
Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Rubritaleaceae	2286.67	95	1	24	Haloferula	0.65
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	2183	65	3	23	Unclassified	0.62
Pseudomonadota	Gammaproteobacteria	EPR3968-O8a-Bc78	Unclassified	2064	65	2	19	Unclassified	0.58
Pseudomonadota	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	2021	96	2	24	Unclassified	0.57
Actinomycetota	Acidimicrobiia	Microtrichales	Iamiaceae	1878	1	1	17	Iamia	0.53
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Alcanivoracaceae	1872	17	4	20	Ketobacter	0.53
Pseudomonadota	Gammaproteobacteria	Beggiatoales	Leucotrichaceae	1853	28	4	19	Unclassified	0.52
Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae	1748	70	1	21	Unclassified	0.49
Balneolota	Balneolia	Balneolales	Balneolaceae	1679.5	50	2	24	Unclassified	0.47
Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	1678	7	3	10	Nitrospira	0.47
Pseudomonadota	Alphaproteobacteria	Unclassified	Unclassified	1650	56	4	24	Unclassified	0.47
Pseudomonadota	Gammaproteobacteria	HOC36	Unclassified	1649	27	4	23	Unclassified	0.47
Deinococcota	Deinococci	Deinococcales	Trueperaceae	1619	34	4	24	Truepera	0.46
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Xenococcaceae	1465	17	1	14	Pleurocapsa_PCC-7319	0.41
Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Pseudobdellovibrionaceae	1368	48	4	23	OM27_clade	0.39
Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	DEV007	1366	69	2	20	Unclassified	0.39
Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	1300	50	2	24	Caldithrix	0.37
Actinomycetota	Actinobacteria	Frankiales	Sporichthyaceae	1296	1	1	10	Sporichthya	0.37
Bacteroidota	Bacteroidia	Chitinophagales	Unclassified	1193.33	76	4	22	Unclassified	0.34
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Unclassified	1094	25	4	19	Bauldia	0.31
Pseudomonadota	Gammaproteobacteria	Ectothiorhodospirales	Thioalkalispiraceae	1093	23	4	15	Unclassified	0.31
Chloroflexota	Anaerolineae	Aggregatilineales	Unclassified	1089	56	2	23	Unclassified	0.31
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Unclassified	1056	39	3	14	Unclassified	0.3
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methyloligellaceae	1034	3	3	22	Methyloceanibacter	0.29
Pseudomonadota	Gammaproteobacteria	Chromatiales	Sedimenticolaceae	1017	18	4	16	Candidatus_Thiodiazotropha	0.29
Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	969	43	4	24	Unclassified	0.27
Pseudomonadota	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	961	17	3	12	Thiogranum	0.27
Pseudomonadota	Gammaproteobacteria	Milano-WF1B-44	Unclassified	915	7	3	13	Unclassified	0.26
Chloroflexota	Anaerolineae	Ardenticatenales	Ardenticatenaceae	899	4	4	10	Unclassified	0.25
Pseudomonadota	Gammaproteobacteria	B2M28	Unclassified	853	18	3	15	Unclassified	0.24
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Lutibaculaceae	828	3	1	12	Lutibaculum	0.23
Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pseudoalteromonadaceae	810	3	2	9	Pseudoalteromonas	0.23
Thermodesulfobacteriota	Desulfobacteria	Desulfatiglandales	Desulfatiglandaceae	807	57	1	20	Desulfatiglans	0.23
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	KI89A_clade	794	32	1	23	Unclassified	0.22
Pseudomonadota	Gammaproteobacteria	Arenicellales	Arenicellaceae	788	12	3	12	Candidatus_Thiosymbion	0.22
Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	774.5	52	3	21	Crocinitomix	0.22
Chloroflexota	Anaerolineae	Unclassified	Unclassified	768	27	2	20	Unclassified	0.22
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	742.54	25	4	16	Unclassified	0.21
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Devosiaceae	717	19	1	20	Unclassified	0.2
Patescibacteria	Saccharimonadia	Saccharimonadales	Unclassified	703.25	66	4	23	Unclassified	0.2
Latescibacterota	Unclassified	Unclassified	Unclassified	685	57	3	23	Unclassified	0.19
Bacteroidota	Bacteroidia	Cytophagales	Flammeovirgaceae	684	17	3	15	Unclassified	0.19
Pseudomonadota	Gammaproteobacteria	Granulosicoccales	Granulosicoccaceae	657	10	2	13	Granulosicoccus	0.19
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halomonadaceae	654	6	4	8	Halomonas	0.18
Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	647	21	3	15	P3OB-42	0.18
