Phylum	Class	Order	Family	Genus	contribution	n_asvs	n_ecs	n_samples	pct
Actinomycetota	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	25410	25	1	24	7.17
Actinomycetota	Actinobacteria	Euzebyales	Euzebyaceae	Unclassified	22934	51	1	24	6.47
Actinomycetota	Actinobacteria	Nitriliruptorales	Nitriliruptoraceae	Unclassified	19195	88	1	24	5.42
Actinomycetota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacter	15555	53	1	24	4.39
Myxococcota	Polyangiia	Polyangiales	Sandaracinaceae	Unclassified	14189	168	3	24	4
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	Marinobacter	11996.65	13	4	24	3.39
Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella	10741	89	2	24	3.03
Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Unclassified	10254	316	4	24	2.89
Chloroflexota	Anaerolineae	Aggregatilineales	A4b	Unclassified	10250	162	4	24	2.89
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Gramella	9493	16	2	23	2.68
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Unclassified	9428	138	4	24	2.66
Rhodothermota	Rhodothermia	Rhodothermales	Rhodothermaceae	Rubrivirga	8638	93	1	24	2.44
Pseudomonadota	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia	7366	81	3	24	2.08
Pseudomonadota	Alphaproteobacteria	Unclassified	Neomegalonemataceae	Acuticoccus	7113	17	3	22	2.01
Rhodothermota	Rhodothermia	Rhodothermales	Rhodothermaceae	Unclassified	6102	89	4	24	1.72
Actinomycetota	Acidimicrobiia	Actinomarinales	Unclassified	Unclassified	6027	57	2	24	1.7
Chloroflexota	Anaerolineae	Caldilineales	Caldilineaceae	Unclassified	6000	54	2	24	1.69
Actinomycetota	Acidimicrobiia	Microtrichales	Unclassified	Unclassified	5602	19	1	23	1.58
Pseudomonadota	Gammaproteobacteria	Unclassified	Unclassified	Unclassified	5144.75	245	4	24	1.45
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Unclassified	4066	20	2	22	1.15
Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	Unclassified	3742	52	3	22	1.06
Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	Unclassified	2943	48	2	24	0.83
Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Owenweeksia	2816	39	2	21	0.79
