taxon_id	Kingdom	Phylum	Class	Order	Family	Genus	Species	contribution	n_ecs	n_samples
ASV_3566	Bacteria	Actinomycetota	Actinobacteria	Euzebyales	Euzebyaceae	Unclassified	Unclassified	198478	9	23
ASV_8325	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Rivularia_PCC-7116	Unclassified	68016	7	12
ASV_6441	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Fulvimarina	Unclassified	67150	6	24
ASV_6535	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Tunicatimonas	Unclassified	61356	8	24
ASV_10845	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Unclassified	Unclassified	60910	7	24
ASV_7535	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Rivularia_PCC-7116	Unclassified	45876	7	6
ASV_1823	Bacteria	Actinomycetota	Actinobacteria	Nitriliruptorales	Nitriliruptoraceae	Unclassified	Unclassified	44165	7	17
ASV_82	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Intrasporangiaceae	Unclassified	Unclassified	41496	8	23
ASV_4417	Bacteria	Actinomycetota	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	Unclassified	38302	6	22
ASV_7541	Bacteria	Actinomycetota	Actinobacteria	Euzebyales	Euzebyaceae	Unclassified	Unclassified	32144	9	17
ASV_7782	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacter	Unclassified	29764	8	24
ASV_2541	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Gramella	Unclassified	29447	8	21
ASV_10664	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Pacificimonas	Unclassified	25135	7	17
ASV_14091	Bacteria	Rhodothermota	Rhodothermia	Rhodothermales	Rhodothermaceae	Unclassified	Unclassified	24936	7	21
ASV_15946	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Unclassified	22407	7	16
ASV_13236	Bacteria	Rhodothermota	Rhodothermia	Rhodothermales	Rhodothermaceae	Unclassified	Unclassified	22188	7	23
ASV_11131	Bacteria	Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	Unclassified	Unclassified	21574	8	19
ASV_15773	Bacteria	Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	Unclassified	Unclassified	21091	8	21
ASV_15365	Bacteria	Actinomycetota	Actinobacteria	Euzebyales	Euzebyaceae	Unclassified	Unclassified	20328	9	13
ASV_4057	Bacteria	Actinomycetota	Actinobacteria	Euzebyales	Euzebyaceae	Unclassified	Unclassified	20244	9	19
