Phylum	Class	Order	Family	contribution	n_asvs	n_ecs	n_samples	top_genus	pct
Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	431245.75	342	10	24	Unclassified	8.07
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	394079.41	675	9	24	Unclassified	7.37
Rhodothermota	Rhodothermia	Rhodothermales	Rhodothermaceae	366573	444	9	24	Unclassified	6.86
Actinomycetota	Actinobacteria	Euzebyales	Euzebyaceae	331460	62	9	24	Unclassified	6.2
Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	256835	501	9	24	Tunicatimonas	4.81
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	237706.55	535	9	24	Gramella	4.45
Actinomycetota	Actinobacteria	Nitriliruptorales	Nitriliruptoraceae	220565	96	8	24	Unclassified	4.13
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae	177223.2	70	8	12	Rivularia_PCC-7116	3.32
Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	160609.5	499	10	24	Lewinella	3.01
Actinomycetota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	148265	65	9	24	Ilumatobacter	2.77
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	146062	108	9	24	Fulvimarina	2.73
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	93686	151	9	23	Unclassified	1.75
Actinomycetota	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	91184	30	8	24	Rubrobacter	1.71
Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	83073	77	9	24	Unclassified	1.55
Myxococcota	Polyangiia	Polyangiales	Sandaracinaceae	75541	182	9	24	Unclassified	1.41
Pseudomonadota	Gammaproteobacteria	Unclassified	Unclassified	68387.75	388	10	24	Unclassified	1.28
Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	68090.03	421	9	24	Pir4_lineage	1.27
Actinomycetota	Actinobacteria	Propionibacteriales	Nocardioidaceae	60329	30	9	18	Nocardioides	1.13
Chloroflexota	Anaerolineae	Aggregatilineales	A4b	55826.5	172	9	24	Unclassified	1.04
Pseudomonadota	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	46872	91	8	24	Woeseia	0.88
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Xenococcaceae	45032	101	8	24	Pleurocapsa_PCC-7319	0.84
Actinomycetota	Acidimicrobiia	Actinomarinales	Unclassified	44529	63	9	24	Unclassified	0.83
Actinomycetota	Actinobacteria	Micrococcales	Intrasporangiaceae	44340.5	5	8	23	Unclassified	0.83
Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	44307	191	9	24	Subgroup_10	0.83
Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	40076.5	66	9	24	Unclassified	0.75
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	38875.5	104	9	23	Unclassified	0.73
Pseudomonadota	Alphaproteobacteria	Unclassified	Unclassified	37711.38	193	9	24	Unclassified	0.71
Campylobacterota	Campylobacteria	Campylobacterales	Sulfurovaceae	36265	20	9	14	Sulfurovum	0.68
Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	35728	93	9	23	Unclassified	0.67
Actinomycetota	Acidimicrobiia	Microtrichales	Unclassified	34316	21	9	23	Unclassified	0.64
Pseudomonadota	Gammaproteobacteria	Enterobacterales	Vibrionaceae	33968.55	77	8	22	Vibrio	0.64
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	31122.96	15	7	24	Marinobacter	0.58
Pseudomonadota	Alphaproteobacteria	Unclassified	Neomegalonemataceae	30837	41	7	24	Acuticoccus	0.58
Pseudomonadota	Alphaproteobacteria	Kiloniellales	Kiloniellaceae	29093	74	9	22	Pelagibius	0.54
Pseudomonadota	Gammaproteobacteria	Chromatiales	Chromatiaceae	28070	38	9	18	Thiophaeococcus	0.53
Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	27122.28	68	10	23	Alteromonas	0.51
Chloroflexota	Anaerolineae	Caldilineales	Caldilineaceae	25999.4	55	9	24	Unclassified	0.49
Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae	25025	70	8	21	Unclassified	0.47
Pseudomonadota	Gammaproteobacteria	EPR3968-O8a-Bc78	Unclassified	23983	69	10	19	Unclassified	0.45
Thermodesulfobacteriota	Desulfobacteria	Desulfatiglandales	Desulfatiglandaceae	23628	58	8	21	Desulfatiglans	0.44
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	23381.45	113	8	24	Unclassified	0.44
Actinomycetota	Acidimicrobiia	Microtrichales	Microtrichaceae	22044	56	9	23	Unclassified	0.41
Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Rubritaleaceae	20819.03	116	9	24	Haloferula	0.39
Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes_BD2-2	20614	80	9	20	Unclassified	0.39
Pseudomonadota	Alphaproteobacteria	Caulobacterales	Parvularculaceae	19587	47	7	24	Parvularcula	0.37
