Phylum	Class	Order	Family	Genus	contribution	n_asvs	n_ecs	n_samples	pct
Actinomycetota	Actinobacteria	Euzebyales	Euzebyaceae	Unclassified	321086	52	9	24	6.01
Rhodothermota	Rhodothermia	Rhodothermales	Rhodothermaceae	Unclassified	246975	309	9	24	4.62
Actinomycetota	Actinobacteria	Nitriliruptorales	Nitriliruptoraceae	Unclassified	220565	96	8	24	4.13
Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Unclassified	177885.75	175	9	24	3.33
Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Tunicatimonas	162324	103	9	24	3.04
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Unclassified	157357.91	396	9	24	2.94
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Rivularia_PCC-7116	153263.2	16	8	12	2.87
Actinomycetota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacter	147987	53	9	24	2.77
Rhodothermota	Rhodothermia	Rhodothermales	Rhodothermaceae	Rubrivirga	108289	93	7	24	2.03
Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella	94298	89	8	24	1.76
Actinomycetota	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	91184	30	8	24	1.71
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Palleronia-Pseudomaribius	88485	42	5	23	1.66
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Gramella	85285.28	24	9	23	1.6
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Fulvimarina	83699	18	7	24	1.57
Myxococcota	Polyangiia	Polyangiales	Sandaracinaceae	Unclassified	73935	169	9	24	1.38
Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	Unclassified	68113	48	9	24	1.27
Pseudomonadota	Gammaproteobacteria	Unclassified	Unclassified	Unclassified	63390.75	360	10	24	1.19
Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomicrobium	61812	32	6	24	1.16
Actinomycetota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	60329	30	9	18	1.13
Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Aurantiacibacter	57553	24	8	24	1.08
Chloroflexota	Anaerolineae	Aggregatilineales	A4b	Unclassified	55826.5	172	9	24	1.04
Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Unclassified	53078	338	10	24	0.99
Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Pacificimonas	51570	18	7	24	0.97
Pseudomonadota	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia	45667	82	8	24	0.85
Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Unclassified	45513	237	9	24	0.85
Actinomycetota	Acidimicrobiia	Actinomarinales	Unclassified	Unclassified	44529	63	9	24	0.83
Actinomycetota	Actinobacteria	Micrococcales	Intrasporangiaceae	Unclassified	44038	4	8	23	0.82
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Unclassified	43545.77	158	9	24	0.81
Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_10	41579	169	9	24	0.78
Pseudomonadota	Alphaproteobacteria	Unclassified	Unclassified	Unclassified	37711.38	193	9	24	0.71
Campylobacterota	Campylobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum	36265	20	9	14	0.68
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Unclassified	34580	49	8	24	0.65
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Unclassified	34563	55	9	21	0.65
Actinomycetota	Acidimicrobiia	Microtrichales	Unclassified	Unclassified	34316	21	9	23	0.64
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Limibaculum	33950	48	6	24	0.64
Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Unclassified	31585	45	9	23	0.59
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Marinobacteraceae	Marinobacter	31122.96	15	7	24	0.58
Pseudomonadota	Alphaproteobacteria	Unclassified	Neomegalonemataceae	Acuticoccus	30641	35	7	24	0.57
Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	Unclassified	29853	73	9	23	0.56
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Actibacterium	29107	23	8	23	0.54
Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	28715	135	8	23	0.54
Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Fulvivirga	28548	53	9	24	0.53
Chloroflexota	Anaerolineae	Caldilineales	Caldilineaceae	Unclassified	25999.4	55	9	24	0.49
Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Qipengyuania	24609	11	7	12	0.46
