sample-id,forward-read,reverse-read
FCBAG1,/home/qjh/projects/UOC-TFM/data/raw/FCBAG1_1.fastq.gz,/home/qjh/projects/UOC-TFM/data/raw/FCBAG1_2.fastq.gz
FCBAG2,/home/qjh/projects/UOC-TFM/data/raw/FCBAG2_1.fastq.gz,/home/qjh/projects/UOC-TFM/data/raw/FCBAG2_2.fastq.gz
FCBAG3,/home/qjh/projects/UOC-TFM/data/raw/FCBAG3_1.fastq.gz,/home/qjh/projects/UOC-TFM/data/raw/FCBAG3_2.fastq.gz
FCBAG4,/home/qjh/projects/UOC-TFM/data/raw/FCBAG4_1.fastq.gz,/home/qjh/projects/UOC-TFM/data/raw/FCBAG4_2.fastq.gz
FCBAG5,/home/qjh/projects/UOC-TFM/data/raw/FCBAG5_1.fastq.gz,/home/qjh/projects/UOC-TFM/data/raw/FCBAG5_2.fastq.gz
FCBAG6,/home/qjh/projects/UOC-TFM/data/raw/FCBAG6_1.fastq.gz,/home/qjh/projects/UOC-TFM/data/raw/FCBAG6_2.fastq.gz
FEZAG1,/home/qjh/projects/UOC-TFM/data/raw/FEZAG1_1.fastq.gz,/home/qjh/projects/UOC-TFM/data/raw/FEZAG1_2.fastq.gz
FEZAG2,/home/qjh/projects/UOC-TFM/data/raw/FEZAG2_1.fastq.gz,/home/qjh/projects/UOC-TFM/data/raw/FEZAG2_2.fastq.gz
FEZAG3,/home/qjh/projects/UOC-TFM/data/raw/FEZAG3_1.fastq.gz,/home/qjh/projects/UOC-TFM/data/raw/FEZAG3_2.fastq.gz
FEZAG4,/home/qjh/projects/UOC-TFM/data/raw/FEZAG4_1.fastq.gz,/home/qjh/projects/UOC-TFM/data/raw/FEZAG4_2.fastq.gz
FEZAG5,/home/qjh/projects/UOC-TFM/data/raw/FEZAG5_1.fastq.gz,/home/qjh/projects/UOC-TFM/data/raw/FEZAG5_2.fastq.gz
FEZAG6,/home/qjh/projects/UOC-TFM/data/raw/FEZAG6_1.fastq.gz,/home/qjh/projects/UOC-TFM/data/raw/FEZAG6_2.fastq.gz
SCBAG1,/home/qjh/projects/UOC-TFM/data/raw/SCBAG1_1.fastq.gz,/home/qjh/projects/UOC-TFM/data/raw/SCBAG1_2.fastq.gz
SCBAG2,/home/qjh/projects/UOC-TFM/data/raw/SCBAG2_1.fastq.gz,/home/qjh/projects/UOC-TFM/data/raw/SCBAG2_2.fastq.gz
SCBAG3,/home/qjh/projects/UOC-TFM/data/raw/SCBAG3_1.fastq.gz,/home/qjh/projects/UOC-TFM/data/raw/SCBAG3_2.fastq.gz
SCBAG4,/home/qjh/projects/UOC-TFM/data/raw/SCBAG4_1.fastq.gz,/home/qjh/projects/UOC-TFM/data/raw/SCBAG4_2.fastq.gz
SCBAG5,/home/qjh/projects/UOC-TFM/data/raw/SCBAG5_1.fastq.gz,/home/qjh/projects/UOC-TFM/data/raw/SCBAG5_2.fastq.gz
SCBAG6,/home/qjh/projects/UOC-TFM/data/raw/SCBAG6_1.fastq.gz,/home/qjh/projects/UOC-TFM/data/raw/SCBAG6_2.fastq.gz
SEZAG1,/home/qjh/projects/UOC-TFM/data/raw/SEZAG1_1.fastq.gz,/home/qjh/projects/UOC-TFM/data/raw/SEZAG1_2.fastq.gz
SEZAG2,/home/qjh/projects/UOC-TFM/data/raw/SEZAG2_1.fastq.gz,/home/qjh/projects/UOC-TFM/data/raw/SEZAG2_2.fastq.gz
SEZAG3,/home/qjh/projects/UOC-TFM/data/raw/SEZAG3_1.fastq.gz,/home/qjh/projects/UOC-TFM/data/raw/SEZAG3_2.fastq.gz
SEZAG4,/home/qjh/projects/UOC-TFM/data/raw/SEZAG4_1.fastq.gz,/home/qjh/projects/UOC-TFM/data/raw/SEZAG4_2.fastq.gz
SEZAG5,/home/qjh/projects/UOC-TFM/data/raw/SEZAG5_1.fastq.gz,/home/qjh/projects/UOC-TFM/data/raw/SEZAG5_2.fastq.gz
SEZAG6,/home/qjh/projects/UOC-TFM/data/raw/SEZAG6_1.fastq.gz,/home/qjh/projects/UOC-TFM/data/raw/SEZAG6_2.fastq.gz
