ASV,Total_Reads,SILVA_Family,BLAST_Top_Hit,Identity_Pct,Accession
ASV_3566,14177,f__Euzebyaceae,"Uncultured Euzebyaceae bacterium clone ZODENRICH1-564 16S ribosomal RNA gene, partial sequence",99.75,PP884666
ASV_10845,6091,f__Sphingomonadaceae,"Qipengyuania polymorpha strain 1NDH17 16S ribosomal RNA gene, partial sequence",100,MZ749490
ASV_1823,4015,f__Nitriliruptoraceae,Nitriliruptor alkaliphilus strain M16,97.78,PP024017.1
ASV_82,3192,f__Intrasporangiaceae,"Ornithinimicrobium sp. strain AS15 16S ribosomal RNA gene, partial sequence",99.26,MN031310
ASV_7541,2296,f__Euzebyaceae,"Uncultured bacterium clone OTU_466 16S ribosomal RNA gene, partial sequence",100,PQ426375
ASV_14091,2078,f__Rhodothermaceae,"Uncultured prokaryote clone New.CleanUp.ReferenceOTU97561 16S ribosomal RNA gene, partial sequence",99.29,KT981826
ASV_13236,1849,f__Rhodothermaceae,"Uncultured prokaryote clone New.CleanUp.ReferenceOTU97561 16S ribosomal RNA gene, partial sequence",99.52,KT981826
ASV_10841,1759,f__Nitriliruptoraceae,"Uncultured prokaryote clone New.CleanUp.ReferenceOTU287645 16S ribosomal RNA gene, partial sequence",98.53,KT979101
ASV_4439,1643,f__Rhodothermaceae,"Uncultured prokaryote clone New.CleanUp.ReferenceOTU97561 16S ribosomal RNA gene, partial sequence",99.76,KT981826
ASV_2086,1504,f__Rhodothermaceae,"Uncultured bacterium clone 16S(V3+V4)-1787 16S ribosomal RNA gene, partial sequence",92.27,MH097843
ASV_4049,1501,f__Nostocaceae,"Phyllonema aviceniicola CENA326 16S ribosomal RNA gene, partial sequence &gt;gi|928241617|gb|KT731150.1| Phyllonema aviceniicola CENA330 16S ribosomal RNA gene, partial sequence",98.76,KT731147
ASV_15365,1452,f__Euzebyaceae,"Uncultured Euzebyaceae bacterium clone ZODENRICH1-390 16S ribosomal RNA gene, partial sequence",99.02,PP884496
ASV_4057,1446,f__Euzebyaceae,"Uncultured Euzebyaceae bacterium clone ZODENRICH1-390 16S ribosomal RNA gene, partial sequence",99.75,PP884496
ASV_1096,1440,f__Sandaracinaceae,"Uncultured bacterium clone 16S(V3-V4)-2098 16S ribosomal RNA gene, partial sequence",96.93,KX624817
ASV_9614,1422,f__Nitriliruptoraceae,"Uncultured bacterium clone I3Q1XXJ01AXQN3 16S ribosomal RNA gene, partial sequence",99.26,KP951652
